more_details_url,make,model,battery_,towbar,market_segment,number_of_seats,acceleration,top_speed,range,efficiency,fastcharge,germany_price,nl_price,uk_price,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1619/Tesla-Model-Y-Long-Range-Dual-Motor,Tesla,Model Y Long Range Dual Motor,75,Towbar possible,SUV,5,5,217,435,172,670,59017,54993,52990,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1555/Tesla-Model-3,Tesla,Model 3,57.5,Towbar possible,Sedan,5,6.1,225,405,142,680,44668,42993,42990,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1743/Tesla-Model-Y,Tesla,Model Y,57.5,Towbar possible,SUV,5,6.9,217,350,164,580,47567,47993,44990,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1782/BYD-ATTO-3,BYD,ATTO 3,60.5,Towbar not possible,SUV,5,7.3,160,330,183,370,44625,42998,36490,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1591/Tesla-Model-3-Long-Range-Dual-Motor,Tesla,Model 3 Long Range Dual Motor,75,Towbar possible,Sedan,5,4.4,233,485,155,750,53668,50993,50990,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1708/MG-MG4-Electric-64-kWh,MG,MG4 Electric 64 kWh,61.7,Towbar possible,Hatchback,5,7.9,160,360,171,420,39990,35785,29495,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1153/Audi-e-tron-GT-RS,Audi,e-tron GT RS,85,Towbar not possible,Sedan,4,3.3,250,405,210,1000,146050,154835,119000,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1667/Smart-1,Smart,#1,62,Towbar possible,SUV,5,6.7,180,335,185,520,42490,41395,35950,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1183/Tesla-Model-Y-Performance,Tesla,Model Y Performance,75,Towbar possible,SUV,5,3.7,250,415,181,640,63667,60993,59990,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1252/BMW-i4-eDrive40,BMW,i4 eDrive40,80.7,Towbar possible,Sedan,5,5.7,190,515,157,800,59200,62992,57890,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1472/BMW-iX-xDrive40,BMW,iX xDrive40,71,Towbar possible,SUV,5,6.1,200,360,197,480,77300,84998,69905,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1405/Tesla-Model-S-Plaid,Tesla,Model S Plaid,95,Towbar possible,Liftback,5,2.1,282,560,170,780,130490,133493,115000,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1701/BMW-iX1-xDrive30,BMW,iX1 xDrive30,64.7,Towbar possible,SUV,5,5.6,180,370,175,530,55000,57850,53245,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1280/Skoda-Enyaq-iV-80,Skoda,Enyaq iV 80,77,Towbar possible,SUV,5,8.6,160,440,175,680,48900,48990,42925,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1538/Mercedes-EQE-350plus,Mercedes,EQE 350+,90.6,Towbar possible,Sedan,5,6.4,210,525,173,780,N/A,82028,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1910/Volvo-EX30-Single-Motor-ER,Volvo,EX30 Single Motor ER,64,Towbar possible,SUV,5,5.3,180,370,173,550,41790,41495,38545,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1620/Tesla-Model-3-Performance,Tesla,Model 3 Performance,75,Towbar not possible,Sedan,5,3.3,261,460,163,710,57668,54993,57990,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1423/Hyundai-Kona-Electric-64-kWh,Hyundai,Kona Electric 64 kWh,64,Towbar possible,SUV,5,7.9,167,395,162,370,42900,N/A,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1666/Kia-Niro-EV,Kia,Niro EV,64.8,Towbar possible,SUV,5,7.8,167,385,168,390,45690,44795,37295,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1483/Mercedes-EQS-450plus,Mercedes,EQS 450+,107.8,Towbar possible,Sedan,5,6.2,210,635,170,950,109551,109090,105610,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1404/Tesla-Model-S-Dual-Motor,Tesla,Model S Dual Motor,95,Towbar possible,Liftback,5,3.2,250,575,165,800,105490,108493,96000,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1976/Tesla-Model-3-Long-Range-RWD,Tesla,Model 3 Long Range RWD,75,Towbar possible,Sedan,5,5.9,233,495,152,770,N/A,46993,46990,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1839/Volkswagen-ID7-Pro,Volkswagen,ID.7 Pro,77,Towbar possible,Sedan,5,6.5,180,475,162,710,56995,60000,53000,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1521/Renault-Megane-E-Tech-EV60-220hp,Renault,Megane E-Tech EV60 220hp,60,Towbar possible,SUV,5,7.4,160,380,158,530,46600,42970,36995,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1337/Mercedes-EQC-400-4MATIC,Mercedes,EQC 400 4MATIC,80,Towbar possible,SUV,5,5.1,180,370,216,440,66069,N/A,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1535/BMW-iX3,BMW,iX3,74,Towbar possible,SUV,5,6.8,180,385,192,520,67300,71462,64165,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1784/BYD-HAN,BYD,HAN,85.4,Towbar not possible,Sedan,5,3.9,180,475,180,450,70805,71490,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1783/BYD-TANG,BYD,TANG,86.4,Towbar possible,SUV,7,4.6,180,360,240,330,71400,73300,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1705/Dacia-Spring-Electric-45,Dacia,Spring Electric 45,25,Towbar not possible,Hatchback,4,19.1,125,165,152,180,22550,21750,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1490/Audi-Q4-e-tron-40,Audi,Q4 e-tron 40,76.6,Towbar possible,SUV,5,8.5,160,405,189,630,51900,59415,50630,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1473/BMW-iX-xDrive50,BMW,iX xDrive50,105.2,Towbar possible,SUV,5,4.6,200,505,208,680,100100,105097,102755,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1471/Kia-EV6-GT,Kia,EV6 GT,74,Towbar possible,SUV,5,3.5,260,360,206,940,72990,69295,62645,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1747/Hongqi-E-HS9-99-kWh,Hongqi,E-HS9 99 kWh,90,Towbar possible,SUV,5,4.9,200,370,243,430,N/A,94590,N/A,,,,,,,,,,,,,,,,,,,
